% do not modify the content
% generated by machine
% format: dimension   meta_grid
%         bssid       signal_strength
%         ......      ......

00:21:55:60:EA:72 -77
00:21:55:60:EA:71 -77

20 1
00:17:DF:AA:9B:A2 -74
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -70
00:23:EB:3A:14:30 -68
00:23:EB:0A:C1:E0 -64
00:23:EB:3A:15:00 -29
00:23:EB:0A:BF:50 -60
00:23:EB:0A:C0:35 -50
00:27:19:D6:F9:14 -71
00:25:84:22:EF:70 -49
00:21:55:60:EA:76 -83
00:17:DF:AA:9E:C3 -41
00:25:84:22:F5:D5 -78
00:21:55:60:EA:74 -83
00:23:EB:3A:13:20 -79
00:17:DF:AA:9E:C1 -40
00:23:EB:3A:13:21 -81
00:17:DF:AA:9E:C2 -41
00:21:55:60:EA:72 -77
00:21:55:60:EA:71 -77

22 1
00:25:45:A5:20:40 -81
00:17:DF:AA:9B:A3 -75
00:17:DF:AA:9B:A0 -76
00:17:DF:AA:9E:C0 -40
00:23:EB:0B:50:60 -69
00:23:EB:0A:C1:E0 -58
00:23:EB:3A:15:00 -21
00:23:EB:0A:BF:50 -59
00:23:EB:0A:C0:35 -59
00:27:19:D6:F9:14 -70
00:23:EB:3A:15:60 -80
00:25:84:22:EF:70 -52
00:21:55:60:EA:76 -78
00:17:DF:AA:9E:C3 -39
00:21:55:60:EA:74 -77
00:23:EB:3A:13:20 -80
00:17:DF:AA:9E:C1 -40
00:23:EB:3A:13:21 -77
00:17:DF:AA:9E:C2 -40
00:21:55:60:EA:72 -77
00:21:55:60:EA:73 -77
00:21:55:60:EA:71 -76

20 1
00:25:84:23:00:10 -77
00:25:45:A5:20:40 -81
00:17:DF:AA:9B:A3 -75
00:17:DF:AA:9B:A0 -76
00:17:DF:AA:9E:C0 -41
00:23:EB:0B:50:60 -67
00:23:EB:0A:C1:E0 -54
00:23:EB:3A:15:00 -28
00:23:EB:0A:C0:35 -52
00:23:EB:0A:BF:50 -58
00:27:19:D6:F9:14 -70
00:25:84:22:EF:70 -63
00:17:DF:AA:9E:C3 -41
00:21:55:60:EA:74 -77
00:23:EB:3A:13:20 -81
00:17:DF:AA:9E:C1 -41
00:23:EB:3A:13:21 -79
00:17:DF:AA:9E:C2 -40
00:21:55:60:EA:73 -77
00:21:55:60:EA:71 -76

17 1
00:17:DF:AA:9B:A2 -81
00:17:DF:AA:9B:A3 -76
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -73
00:23:EB:3A:15:00 -21
00:23:EB:0A:C0:35 -62
00:23:EB:0A:BF:50 -58
00:27:19:D6:F9:14 -67
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -41
00:21:55:60:EA:76 -78
00:17:DF:AA:9E:C1 -42
00:21:55:60:EA:74 -78
00:17:DF:AA:9E:C2 -42
00:21:55:60:EA:72 -83
00:21:55:60:EA:73 -78
00:21:55:60:EA:71 -83

19 1
00:17:DF:AA:9B:A3 -79
00:17:DF:AA:9E:C0 -39
00:23:EB:0B:50:60 -78
00:23:EB:3A:14:30 -74
00:23:EB:3A:15:00 -30
00:23:EB:0A:C1:E0 -58
00:23:EB:0A:CC:95 -81
00:23:EB:0A:C0:35 -49
00:23:EB:0A:BF:50 -54
00:27:19:D6:F9:14 -66
00:23:EB:0A:BE:25 -65
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -45
00:17:DF:AA:9E:C1 -40
00:23:EB:3A:13:21 -85
00:17:DF:AA:9E:C2 -45
00:21:55:60:EA:72 -78
00:21:55:60:EA:73 -79
00:23:EB:0B:50:50 -65

20 1
00:25:84:23:00:10 -78
00:17:DF:AA:9B:A3 -79
00:17:DF:AA:9E:C0 -39
00:23:EB:0B:50:60 -78
00:23:EB:3A:14:30 -74
00:23:EB:3A:15:00 -32
00:23:EB:0A:C1:E0 -58
00:23:EB:0A:CC:95 -81
00:23:EB:0A:C0:35 -64
00:23:EB:0A:BF:50 -61
00:23:EB:0A:BE:25 -65
00:27:19:D6:F9:14 -66
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -45
00:17:DF:AA:9E:C1 -40
00:23:EB:3A:13:21 -85
00:17:DF:AA:9E:C2 -45
00:21:55:60:EA:72 -78
00:21:55:60:EA:73 -79
00:23:EB:0B:50:50 -65

20 1
00:25:84:23:00:10 -79
00:17:DF:AA:9E:C0 -38
00:23:EB:0B:50:60 -80
00:23:EB:3A:14:30 -68
00:23:EB:3A:15:00 -30
00:23:EB:0A:C1:E0 -56
00:23:EB:0A:C0:35 -51
00:23:EB:0A:BF:50 -64
00:23:EB:0A:BE:25 -64
00:27:19:D6:F9:14 -71
00:23:EB:3A:15:60 -82
00:25:84:22:EF:70 -49
00:17:DF:AA:9E:C3 -39
00:17:DF:AA:9E:C1 -40
00:23:EB:3A:13:20 -78
00:17:DF:AA:9E:C2 -39
00:23:EB:3A:13:21 -80
00:21:55:60:EA:72 -79
00:21:55:60:EA:70 -78
00:21:55:60:EA:71 -78

20 1
00:25:84:23:00:10 -79
00:17:DF:AA:9E:C0 -41
00:23:EB:0B:50:60 -68
00:23:EB:3A:14:30 -68
00:23:EB:0A:C1:E0 -55
00:23:EB:3A:15:00 -21
00:23:EB:0A:C0:35 -64
00:23:EB:0A:BF:50 -64
00:27:19:D6:F9:14 -70
00:23:EB:0A:BE:25 -66
00:23:EB:3A:15:60 -80
00:25:84:22:EF:70 -56
00:17:DF:AA:9E:C3 -40
00:23:EB:3A:13:20 -79
00:17:DF:AA:9E:C1 -39
00:23:EB:3A:13:21 -83
00:17:DF:AA:9E:C2 -41
00:21:55:60:EA:72 -79
00:21:55:60:EA:70 -78
00:21:55:60:EA:71 -78

22 3
00:25:45:A5:20:41 -81
00:17:DF:AA:9B:A0 -83
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -75
00:23:EB:3A:14:30 -72
00:23:EB:0A:C1:E0 -58
00:23:EB:3A:15:00 -28
00:23:EB:0A:C0:35 -57
00:23:EB:0A:BF:50 -69
00:23:EB:0A:CC:95 -73
00:27:19:D6:F9:14 -70
00:25:84:22:EF:70 -59
00:21:55:60:EA:76 -81
00:17:DF:AA:9E:C3 -46
00:25:84:22:F5:D5 -77
00:25:84:23:23:E0 -79
00:17:DF:AA:9E:C1 -43
00:17:DF:AA:9E:C2 -42
00:21:55:60:EA:72 -81
00:21:55:60:EA:70 -79
00:23:EB:0B:50:50 -75
00:21:55:60:EA:71 -79

17 3
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -65
00:17:DF:AA:9B:A1 -82
00:23:EB:3A:14:30 -75
00:23:EB:0A:C1:E0 -58
00:23:EB:3A:15:00 -26
00:23:EB:3A:15:60 -80
00:25:84:22:EF:70 -53
00:21:55:60:EA:76 -80
00:17:DF:AA:9E:C3 -43
00:21:55:60:EA:74 -80
00:25:84:23:23:E0 -80
00:17:DF:AA:9E:C1 -44
00:21:55:60:EA:75 -76
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -80
00:21:55:60:EA:71 -78

18 3
00:17:DF:AA:9E:C0 -45
00:17:DF:AA:9B:A1 -79
00:23:EB:0B:50:60 -68
00:23:EB:3A:14:30 -69
00:23:EB:3A:15:00 -27
00:23:EB:0A:BF:50 -67
00:23:EB:0A:C0:35 -55
00:23:EB:0A:CC:95 -74
00:23:EB:0A:BE:25 -66
00:27:19:D6:F9:14 -70
00:25:84:22:EF:70 -53
00:17:DF:AA:9E:C3 -44
00:25:84:23:23:E0 -74
00:17:DF:AA:9E:C1 -44
00:17:DF:AA:9E:C2 -44
00:21:55:60:EA:75 -80
00:23:EB:3A:13:21 -79
00:21:55:60:EA:72 -82

19 3
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -74
00:23:EB:3A:14:30 -73
00:23:EB:0A:C1:E0 -64
00:23:EB:3A:15:00 -26
00:23:EB:0A:CC:95 -76
00:23:EB:0A:C0:35 -55
00:23:EB:0A:BF:50 -68
00:27:19:D6:F9:14 -70
00:23:EB:0A:BE:25 -68
00:25:84:22:EF:70 -60
00:17:DF:AA:9E:C3 -43
00:21:55:60:EA:74 -83
00:25:84:23:23:E0 -82
00:17:DF:AA:9E:C1 -44
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -82
00:21:55:60:EA:73 -74
00:23:EB:0B:50:50 -74

17 3
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -67
00:23:EB:3A:14:30 -71
00:23:EB:0A:C1:E0 -59
00:23:EB:3A:15:00 -28
00:14:78:ED:5B:D0 -84
00:23:EB:0A:BF:50 -66
00:23:EB:0A:C0:35 -56
00:23:EB:0A:CC:95 -75
00:27:19:D6:F9:14 -71
00:23:EB:3A:15:60 -81
00:25:84:22:EF:70 -53
00:17:DF:AA:9E:C3 -43
00:21:55:60:EA:76 -80
00:17:DF:AA:9E:C1 -43
00:17:DF:AA:9E:C2 -43
00:23:EB:0B:50:50 -76

20 3
00:25:45:A5:20:41 -82
00:17:DF:AA:9E:C0 -44
00:23:EB:0B:50:60 -66
00:23:EB:3A:14:30 -71
00:23:EB:0A:C1:E0 -59
00:23:EB:3A:15:00 -26
00:14:78:ED:5B:D0 -84
00:23:EB:0A:BF:50 -69
00:23:EB:0A:C0:35 -57
00:23:EB:0A:CC:95 -74
00:27:19:D6:F9:14 -70
00:23:EB:3A:15:60 -80
00:25:84:22:EF:70 -55
00:21:55:60:EA:76 -80
00:17:DF:AA:9E:C3 -43
00:25:84:22:F5:D5 -77
00:23:EB:3A:13:20 -83
00:17:DF:AA:9E:C1 -44
00:17:DF:AA:9E:C2 -43
00:23:EB:0B:50:50 -74

20 3
00:25:45:A5:20:41 -82
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -71
00:23:EB:3A:14:30 -74
00:23:EB:0A:C1:E0 -59
00:23:EB:3A:15:00 -27
00:14:78:ED:5B:D0 -84
00:23:EB:0A:BF:50 -64
00:23:EB:0A:C0:35 -57
00:23:EB:0A:CC:95 -74
00:27:19:D6:F9:14 -75
00:23:EB:3A:15:60 -82
00:25:84:22:EF:70 -60
00:21:55:60:EA:76 -79
00:17:DF:AA:9E:C3 -44
00:25:84:22:F5:D5 -77
00:23:EB:3A:13:20 -83
00:17:DF:AA:9E:C1 -42
00:17:DF:AA:9E:C2 -43
00:23:EB:0B:50:50 -74

17 3
00:25:45:A5:20:40 -81
00:17:DF:AA:9E:C0 -44
00:23:EB:3A:14:30 -75
00:23:EB:3A:15:00 -27
00:23:EB:0A:CC:95 -75
00:23:EB:0A:C0:35 -57
00:23:EB:0A:BF:50 -61
00:23:EB:0A:BE:25 -64
00:27:19:D6:F9:14 -74
00:23:EB:3A:15:60 -81
00:25:84:22:EF:70 -55
00:17:DF:AA:9E:C3 -44
00:21:55:60:EA:76 -80
00:17:DF:AA:9E:C1 -43
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:70 -74
00:21:55:60:EA:71 -82

16 3
00:25:45:A5:20:41 -82
00:17:DF:AA:9E:C0 -43
00:23:EB:3A:14:30 -74
00:23:EB:3A:15:00 -29
00:14:78:ED:5B:D0 -85
00:23:EB:0A:CC:95 -76
00:23:EB:0A:C0:35 -55
00:23:EB:0A:BF:50 -67
00:27:19:D6:F9:14 -74
00:25:84:22:EF:70 -58
00:17:DF:AA:9E:C3 -44
00:25:84:22:F5:D5 -76
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -78
00:21:55:60:EA:73 -79
00:23:EB:0B:50:50 -76

19 3
00:17:DF:AA:9E:C0 -43
00:23:EB:3A:14:30 -72
00:23:EB:3A:15:00 -27
00:23:EB:0A:C1:E0 -64
00:23:EB:0A:CC:95 -74
00:23:EB:0A:BE:25 -63
00:27:19:D6:F9:14 -68
00:23:EB:3A:15:60 -76
00:25:84:22:EF:70 -54
00:21:55:60:EA:76 -80
00:17:DF:AA:9E:C3 -43
00:25:84:23:23:E0 -83
00:21:55:60:EA:74 -80
00:17:DF:AA:9E:C1 -43
00:23:EB:3A:13:20 -83
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -84
00:21:55:60:EA:73 -80
00:21:55:60:EA:71 -80

20 3
00:25:45:A5:20:41 -82
00:17:DF:AA:9E:C0 -47
00:23:EB:3A:14:30 -70
00:23:EB:0A:C1:E0 -68
00:23:EB:3A:15:00 -28
00:14:78:ED:5B:D0 -86
00:23:EB:0A:C0:35 -58
00:23:EB:0A:BE:25 -64
00:27:19:D6:F9:14 -71
00:23:EB:3A:15:60 -83
00:25:84:22:EF:70 -56
00:17:DF:AA:9E:C3 -46
00:23:EB:3A:13:20 -82
00:25:84:23:23:E0 -74
00:17:DF:AA:9E:C1 -46
00:21:55:60:EA:75 -74
00:17:DF:AA:9E:C2 -46
00:21:55:60:EA:70 -83
00:21:55:60:EA:71 -80
00:23:EB:0B:50:50 -75

19 3
00:25:84:23:00:10 -77
00:17:DF:AA:9B:A2 -74
00:17:DF:AA:9B:A0 -74
00:17:DF:AA:9E:C0 -42
00:23:EB:0B:50:60 -70
00:23:EB:3A:14:30 -70
00:23:EB:3A:15:00 -27
00:23:EB:0A:C1:E0 -65
00:23:EB:0A:CC:95 -79
00:23:EB:0A:C0:35 -56
00:23:EB:0A:BF:50 -60
00:23:EB:0A:BE:25 -77
00:27:19:D6:F9:14 -71
00:25:84:22:EF:70 -54
00:17:DF:AA:9E:C3 -43
00:17:DF:AA:9E:C1 -44
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:70 -80
00:23:EB:0B:50:50 -75

20 3
00:25:84:23:00:10 -75
00:25:45:A5:20:40 -83
00:17:DF:AA:9B:A2 -74
00:17:DF:AA:9B:A0 -74
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -70
00:23:EB:3A:14:30 -70
00:23:EB:3A:15:00 -27
00:23:EB:0A:C1:E0 -65
00:23:EB:0A:CC:95 -79
00:23:EB:0A:C0:35 -61
00:23:EB:0A:BF:50 -60
00:23:EB:0A:BE:25 -77
00:27:19:D6:F9:14 -70
00:25:84:22:EF:70 -55
00:17:DF:AA:9E:C3 -46
00:17:DF:AA:9E:C1 -43
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:70 -80
00:23:EB:0B:50:50 -75

17 3
00:17:DF:AA:9B:A2 -79
00:17:DF:AA:9E:C0 -46
00:23:EB:0B:50:60 -72
00:23:EB:3A:14:30 -70
00:23:EB:3A:15:00 -29
00:23:EB:0A:C0:35 -58
00:27:19:D6:F9:14 -69
00:25:84:22:EF:70 -58
00:21:55:60:EA:76 -81
00:17:DF:AA:9E:C3 -43
00:21:55:60:EA:74 -81
00:17:DF:AA:9E:C1 -43
00:23:EB:3A:13:21 -83
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -79
00:21:55:60:EA:73 -81
00:21:55:60:EA:71 -79

16 3
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -66
00:23:EB:3A:15:00 -27
00:23:EB:0A:C1:E0 -65
00:23:EB:0A:CC:95 -73
00:23:EB:0A:BE:25 -70
00:27:19:D6:F9:14 -70
00:23:EB:3A:15:60 -81
00:25:84:22:EF:70 -58
00:17:DF:AA:9E:C3 -43
00:21:55:60:EA:74 -77
00:23:EB:3A:13:20 -80
00:17:DF:AA:9E:C1 -42
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -78
00:21:55:60:EA:71 -80

20 3
00:25:45:A5:20:41 -82
00:17:DF:AA:9E:C0 -43
00:17:DF:AA:9B:A0 -83
00:23:EB:0B:50:60 -73
00:23:EB:3A:14:30 -71
00:23:EB:0A:C1:E0 -58
00:23:EB:3A:15:00 -26
00:23:EB:0A:CC:95 -75
00:23:EB:0A:C0:35 -58
00:23:EB:0A:BF:50 -66
00:23:EB:0A:BE:25 -63
00:27:19:D6:F9:14 -68
00:25:84:22:EF:70 -61
00:21:55:60:EA:76 -79
00:21:55:60:EA:74 -80
00:23:EB:3A:13:21 -83
00:21:55:60:EA:72 -80
00:21:55:60:EA:73 -80
00:21:55:60:EA:71 -83
00:23:EB:0B:50:50 -76

17 3
00:25:45:A5:20:41 -83
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -65
00:23:EB:3A:15:00 -26
00:23:EB:0A:C1:E0 -57
00:14:78:ED:5B:D0 -85
00:23:EB:0A:CC:95 -75
00:23:EB:0A:C0:35 -56
00:23:EB:0A:BF:50 -66
00:23:EB:0A:BE:25 -64
00:27:19:D6:F9:14 -72
00:25:84:22:EF:70 -58
00:17:DF:AA:9E:C3 -45
00:25:84:22:F5:D5 -77
00:17:DF:AA:9E:C1 -45
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:71 -79

17 3
00:25:45:A5:20:41 -83
00:17:DF:AA:9E:C0 -44
00:23:EB:0B:50:60 -65
00:23:EB:3A:15:00 -26
00:23:EB:0A:C1:E0 -58
00:14:78:ED:5B:D0 -85
00:23:EB:0A:CC:95 -76
00:23:EB:0A:C0:35 -56
00:23:EB:0A:BF:50 -64
00:23:EB:0A:BE:25 -64
00:27:19:D6:F9:14 -72
00:25:84:22:EF:70 -58
00:17:DF:AA:9E:C3 -47
00:25:84:22:F5:D5 -77
00:17:DF:AA:9E:C1 -43
00:17:DF:AA:9E:C2 -44
00:21:55:60:EA:71 -79

17 3
00:17:DF:AA:9E:C0 -43
00:23:EB:0B:50:60 -63
00:23:EB:3A:15:00 -26
00:23:EB:0A:C1:E0 -58
00:23:EB:0A:C0:35 -55
00:23:EB:0A:BE:25 -76
00:27:19:D6:F9:14 -72
00:25:84:22:EF:70 -58
00:17:DF:AA:9E:C3 -43
00:21:55:60:EA:76 -78
00:17:DF:AA:9E:C1 -43
00:25:84:23:23:E0 -80
00:23:EB:3A:13:21 -82
00:17:DF:AA:9E:C2 -43
00:21:55:60:EA:72 -81
00:21:55:60:EA:73 -79
00:23:EB:0B:50:50 -77

21 3
00:17:DF:AA:9E:C0 -46
00:23:EB:0B:50:60 -71
00:23:EB:3A:14:30 -73
00:23:EB:0A:C1:E0 -60
00:23:EB:3A:15:00 -28
00:14:78:ED:5B:D0 -84
00:23:EB:0A:C0:35 -71
00:23:EB:0A:BF:50 -64
00:23:EB:0A:CC:95 -75
00:27:19:D6:F9:14 -70
00:25:84:22:EF:70 -57
00:21:55:60:EA:76 -79
00:17:DF:AA:9E:C3 -43
00:21:55:60:EA:74 -79
00:17:DF:AA:9E:C1 -44
00:17:DF:AA:9E:C2 -44
00:21:55:60:EA:72 -83
00:21:55:60:EA:73 -80
00:21:55:60:EA:70 -80
00:23:EB:0B:50:50 -72
00:21:55:60:EA:71 -83

16 2
00:17:DF:AA:9B:A2 -65
00:17:DF:AA:9B:A3 -62
00:17:DF:AA:9E:C0 -34
00:17:DF:AA:9B:A0 -61
00:23:EB:3A:15:00 -35
00:23:EB:0A:C1:E0 -54
00:27:19:D6:F9:14 -69
00:25:84:22:FF:90 -76
00:25:84:22:EF:70 -51
00:17:DF:AA:9E:C3 -34
00:21:55:60:EA:74 -80
00:17:DF:AA:9E:C1 -33
00:23:EB:3A:13:20 -73
00:17:DF:AA:9E:C2 -33
00:23:EB:3A:13:21 -81
00:21:55:60:EA:70 -80

19 2
00:25:45:A5:20:41 -80
00:17:DF:AA:9B:A2 -67
00:17:DF:AA:9B:A3 -69
00:17:DF:AA:9B:A0 -70
00:17:DF:AA:9E:C0 -34
00:23:EB:3A:14:30 -77
00:23:EB:3A:15:00 -34
00:23:EB:0A:C1:E0 -59
00:23:EB:0A:C0:35 -57
00:23:EB:0A:BF:50 -47
00:27:19:D6:F9:14 -62
